Rank,Company Name,Revenue,Profit,Assets,Market Value
371,China Yangtze Power,$10.7 B,$3.8 B,$78.7 B,$87.3 B
372,NTPC,$21.2 B,$2.4 B,$54.7 B,$42.5 B
373,Bank Mandiri,$11.6 B,$3.6 B,$136.5 B,$38.1 B
374,Aviva,$43.2 B,$1.3 B,$403.4 B,$16.9 B
375,Swedbank,$13.9 B,$3.3 B,$288 B,$23 B
376,Baidu,$18.8 B,$2.7 B,$57.4 B,$40.7 B
376,First Citizens Bank (NC),$14.7 B,$2.7 B,$217.8 B,$25.7 B
378,Svenska Handelsbanken,$17.6 B,$2.7 B,$351.3 B,$18.3 B
379,Orix,$19.5 B,$2.4 B,$107.8 B,$25.2 B
380,Dow,$43.5 B,$1.2 B,$58.8 B,$41.6 B
381,IntercontinentalExchange,$10 B,$2.5 B,$131.4 B,$79.4 B
381,Power Construction Corporation of China,$85.6 B,$1.8 B,$168.1 B,$12.7 B
383,Toyota Tsusho,$70.5 B,$2.3 B,$46.6 B,$21.7 B
384,Takeda Pharmaceutical,$29.5 B,$996.3 M,$99.8 B,$41.7 B
385,Poste Italiane,$22.2 B,$2 B,$293.2 B,$17.4 B
386,Mitsubishi Electric,$36.4 B,$2 B,$40.8 B,$37.9 B
387,Citic Securities,$13.4 B,$2.7 B,$216.9 B,$26.2 B
387,Haier Smart Home,$36.9 B,$2.4 B,$35.7 B,$37.8 B
389,Kinder Morgan,$15.1 B,$2.4 B,$70.7 B,$43.7 B
389,Toyota Industries,$26.5 B,$1.6 B,$73.2 B,$29.6 B
391,Rolls-Royce Holdings,$20.5 B,$3 B,$40.2 B,$44.7 B
392,Fortescue Metals Group,$18.6 B,$5.8 B,$29.9 B,$55.4 B
393,Waste Management,$20.7 B,$2.5 B,$32.7 B,$84.4 B
394,Cheniere Energy,$17.2 B,$4.9 B,$42.9 B,$36.7 B
395,TAQA,$14.2 B,$2 B,$58 B,$88.8 B
396,CSX,$14.6 B,$3.6 B,$42.7 B,$65.5 B
397,Johnson Controls International,$26.8 B,$1.7 B,$43.5 B,$46.5 B
398,Larsen & Toubro,$26.7 B,$1.6 B,$40.7 B,$56.9 B
399,Femsa,$42 B,$1.2 B,$48 B,$42.8 B
400,Dominion Energy,$14.4 B,$1.7 B,$102 B,$44.8 B
401,LyondellBasell Industries,$40.6 B,$2.1 B,$36.6 B,$32.9 B
402,Shin-Etsu Chemical,$16.7 B,$3.6 B,$34 B,$75 B
403,Investor AB,$7.4 B,$15.2 B,$84.8 B,$79.1 B
404,M&T Bank,$13.1 B,$2.6 B,$215.1 B,$25.7 B
405,ORLEN Spolka Akcyjna,$85.4 B,$5.8 B,$71.2 B,$10.5 B
406,Arch Capital Group,$14.1 B,$4.8 B,$52.5 B,$37.9 B
407,Synchrony Financial,$19.4 B,$2.9 B,$121.2 B,$17.6 B
408,Fifth Third Bank,$13.2 B,$2.3 B,$214.5 B,$26.4 B
409,Becton Dickinson,$19.7 B,$1.3 B,$54.2 B,$68.3 B
410,ENEOS Holdings,$95.8 B,$2 B,$67 B,$14.4 B
411,Hana Financial Group,$21.5 B,$2.4 B,$452.3 B,$13.3 B
412,Posco,$57.4 B,$1.1 B,$76.7 B,$22.3 B
412,Tata Consultancy Services,$29.1 B,$5.5 B,$17.6 B,$166.5 B
414,Schweizerische Nationalbank,$38.7 B,$32.4 B,$942.2 B,$442 M
415,Prologis,$8.2 B,$3.2 B,$93.3 B,$104.1 B
416,Wanhua Chemical Group,$24.9 B,$2.4 B,$38.6 B,$39.1 B
417,Oneok,$17.8 B,$2.2 B,$44.4 B,$48.2 B
418,Analog Devices,$11.6 B,$2.8 B,$48.4 B,$106.2 B
419,Parker-Hannifin,$19.8 B,$2.8 B,$29.6 B,$70.1 B
420,Baoshan Iron & Steel,$48.5 B,$1.7 B,$53.7 B,$21.2 B
421,ArcelorMittal,$68.3 B,$921.4 M,$93.9 B,$21.6 B
422,Nomura,$28.8 B,$1.1 B,$364.4 B,$17.5 B
423,Bank Of Shanghai,$15 B,$3.2 B,$436.5 B,$15.3 B
424,American Tower,$11.2 B,$2.1 B,$66.7 B,$90.8 B
425,Hewlett Packard Enterprise,$28.1 B,$1.9 B,$58.6 B,$23.2 B
425,Marriott International,$24.1 B,$2.9 B,$25.8 B,$67.9 B
427,Regeneron Pharmaceuticals,$13.1 B,$3.9 B,$34.4 B,$108.2 B
428,Intuit,$15.1 B,$2.8 B,$29.7 B,$185.1 B
429,Sysco,$78 B,$2.1 B,$24.7 B,$37.8 B
430,Daikin Industries,$30.4 B,$1.8 B,$32.2 B,$47.3 B
431,Veolia Environnement,$49 B,$1 B,$80.2 B,$23.8 B
432,Bridgestone,$30 B,$2.2 B,$36.9 B,$30.5 B
433,Cummins,$34 B,$1.9 B,$31.8 B,$39.1 B
434,Michelin Group,$30.6 B,$2.1 B,$38.9 B,$29 B
435,Komatsu,$26.8 B,$2.7 B,$37.2 B,$28 B
436,Pfizer,$55.1 B,$-289 M,$221.1 B,$162.3 B
437,CSL,$14.1 B,$2.5 B,$37.3 B,$90.5 B
438,Keurig Dr Pepper,$14.9 B,$2.2 B,$52.3 B,$45.8 B
439,Canadian Pacific Kansas City,$10.2 B,$2.9 B,$60.3 B,$76.6 B
440,Bank of Baroda,$17.1 B,$2.3 B,$198.4 B,$16.2 B
441,CTBC Financial Holding,$13.2 B,$1.8 B,$270.6 B,$23.2 B
442,Kotak Mahindra Bank,$11.4 B,$2.2 B,$92 B,$40.5 B
443,TC Energy,$11.4 B,$2.1 B,$94.6 B,$40.4 B
444,Carrier Global,$23 B,$1.2 B,$40.8 B,$58.8 B
445,Aon,$13.7 B,$2.6 B,$40.8 B,$63.6 B
446,Hermès International,$14.5 B,$4.7 B,$22.6 B,$261.4 B
447,Mitsubishi Heavy Industries,$32.2 B,$1.5 B,$41.3 B,$29.6 B
448,Infineon Technologies,$16.9 B,$2.8 B,$31.4 B,$52.2 B
449,Heineken,$32.8 B,$1.3 B,$61.9 B,$23.4 B
450,Boeing,$76.4 B,$-2.2 B,$134.5 B,$113.5 B
451,Grupo Mexico,$14.3 B,$3.2 B,$35.8 B,$52.6 B
451,London Stock Exchange,$10.4 B,$946 M,"$1,026.2 B",$62.8 B
451,Sherwin-Williams,$23 B,$2.4 B,$23.4 B,$79.2 B
454,Dollar General,$38.7 B,$1.7 B,$33.7 B,$31.2 B
455,Baker Hughes Company,$26.2 B,$1.8 B,$37.1 B,$33.4 B
455,CRRC,$32.4 B,$1.7 B,$65.2 B,$18.1 B
457,Bank Central Asia,$7.5 B,$3.3 B,$91.1 B,$75.3 B
458,Boston Scientific,$14.7 B,$1.8 B,$36.7 B,$109.7 B
459,Naturgy Energy Group,$24.5 B,$2.1 B,$41.9 B,$26.1 B
460,Saudi Electricity,$20.7 B,$1.3 B,$133.5 B,$19.6 B
461,Softbank,$46.7 B,$-1.7 B,$308.7 B,$80.6 B
462,Wilmar International,$67.2 B,$1.5 B,$61.8 B,$14.7 B
463,China Vanke,$65.1 B,$1.5 B,$202.5 B,$10.4 B
463,Maybank,$11.1 B,$2 B,$223.7 B,$25.5 B
465,Hyundai Mobis,$44.3 B,$2.6 B,$45.2 B,$15.1 B
466,General Mills,$20.2 B,$2.6 B,$30.9 B,$40.2 B
467,Canon,$29 B,$1.9 B,$37.9 B,$27.5 B
467,Consolidated Edison,$14.5 B,$1.8 B,$66.7 B,$33.6 B
469,Kansai Electric Power,$28.1 B,$3.1 B,$59.7 B,$14.1 B
470,Danone,$29.9 B,$943.8 M,$49.1 B,$41.8 B
471,BT Group,$25.4 B,$2.3 B,$65.2 B,$16.6 B
472,Bharti Airtel,$18.1 B,$901.9 M,$53.3 B,$91.5 B
473,Etisalat,$15 B,$2.8 B,$40.2 B,$38.1 B
474,OMV Group,$39.8 B,$1.7 B,$55.4 B,$16.9 B
475,Fast Retailing,$20.2 B,$2.4 B,$23.4 B,$80.9 B
476,Carrefour,$91.8 B,$1.8 B,$62 B,$12.1 B
477,NetEase,$14.6 B,$4.2 B,$26.2 B,$65 B
478,Compass Group,$40.1 B,$1.7 B,$22.4 B,$48.8 B
479,Principal Financial Group,$14.9 B,$1.3 B,$288.4 B,$20 B
480,BCE,$18.3 B,$1.4 B,$53.6 B,$31.4 B
481,Prudential,$10.9 B,$1.7 B,$171.6 B,$28.5 B
481,Suzuki Motor,$37.2 B,$1.9 B,$35.6 B,$22.2 B
483,FirstRand,$12.4 B,$2.1 B,$127.7 B,$21.2 B
483,Sun Hung Kai Properties,$9.2 B,$3.1 B,$104.5 B,$29.8 B
485,Recruit Holdings,$23.6 B,$2.4 B,$20.8 B,$76.5 B
486,Williams,$10.2 B,$2.9 B,$52.7 B,$50.3 B
487,Xcel Energy,$13.8 B,$1.8 B,$65.6 B,$30.8 B
488,Coal India,$17.2 B,$3.9 B,$28.5 B,$34.8 B
488,Kuwait Finance House,$9.3 B,$1.8 B,$120.4 B,$40.8 B
490,Raymond James Financial,$14 B,$1.8 B,$81.2 B,$26.2 B
491,Reckitt Benckiser Group,$18.2 B,$2 B,$34.6 B,$41.1 B
492,China Coal Energy,$27.3 B,$2.9 B,$49.2 B,$14.8 B
493,Samsung C&T,$32.2 B,$1.7 B,$51.5 B,$17.5 B
494,Longfor Group Holdings,$25.4 B,$1.8 B,$98.8 B,$13 B
495,Blackstone,$10.3 B,$2.2 B,$39.7 B,$151.9 B
496,Daiwa House Industry,$36 B,$2.1 B,$43.2 B,$16.9 B
497,Shaanxi Coal Industry,$21.7 B,$2.6 B,$27.9 B,$32.7 B
498,China Merchants Shekou Industrial Zone Holdings,$28.6 B,$944.9 M,$281.7 B,$14.3 B
499,Mitsui Fudosan,$16.5 B,$1.6 B,$62.7 B,$26.2 B
500,Henkel,$23.3 B,$1.4 B,$35 B,$38.3 B
501,Imperial Brands,$22.8 B,$2.6 B,$36.1 B,$21.5 B
501,Truist Financial,$33.2 B,$-1.4 B,$535 B,$53.5 B
503,L3Harris Technologies,$20.2 B,$1.2 B,$41.8 B,$42.4 B
504,Air Products & Chemicals,$12.2 B,$2.5 B,$35.9 B,$58.4 B
505,Woodside Energy Group,$14 B,$1.6 B,$55.4 B,$34.9 B
506,Capgemini,$24.3 B,$1.8 B,$27.3 B,$38.6 B
506,NN Group,$21.6 B,$1.2 B,$230 B,$13.5 B
508,Legal & General Group,$55.9 B,$540.7 M,$656.3 B,$19 B
509,Republic Services,$15.2 B,$1.8 B,$31.4 B,$59.3 B
510,Halliburton,$23.1 B,$2.6 B,$24.7 B,$33.6 B
511,Bouygues,$61.1 B,$1.1 B,$64.9 B,$14.5 B
512,Pernod Ricard,$12.6 B,$2.2 B,$42.8 B,$40.8 B
513,Bristol Myers Squibb,$45.5 B,$-6.1 B,$99 B,$89.3 B
514,Coca-Cola Europacific Partners,$19.8 B,$1.8 B,$32.3 B,$34.2 B
514,Yankuang Energy Group,$16.8 B,$2.5 B,$58.4 B,$17.8 B
516,Markel,$16.6 B,$2.5 B,$44.9 B,$21.6 B
517,Huntington Bank,$11.1 B,$1.8 B,$193.5 B,$20.6 B
517,Tokyo Electric Power,$47.8 B,$1.9 B,$96.4 B,$9.8 B
519,CME Group,$5.6 B,$3.2 B,$132.1 B,$76.7 B
519,STMicroelectronics,$16.5 B,$3.7 B,$25 B,$37.2 B
521,Swiss Life Holding,$13.2 B,$1.2 B,$258.3 B,$19.9 B
522,Edison International,$16.4 B,$959 M,$83.6 B,$29.4 B
523,GE HealthCare Technologies,$19.5 B,$1.6 B,$32.2 B,$37.4 B
524,Thales,$19.9 B,$1.1 B,$42.8 B,$37.5 B
525,Canara Bank,$16.8 B,$1.8 B,$184 B,$12.4 B
525,Isbank,$17.6 B,$3 B,$100 B,$11.5 B
527,Nutrien,$28.3 B,$844.4 M,$53.6 B,$28.6 B
528,British American Tobacco,$33.9 B,$-17.9 B,$151.3 B,$69.9 B
529,East Japan Railway,$18.9 B,$1.4 B,$64.6 B,$20.5 B
530,Central Japan Railway,$11.8 B,$2.7 B,$65.7 B,$21.9 B
531,Bank of Nanjing,$11.4 B,$2.5 B,$331.5 B,$14 B
532,TE Connectivity,$15.8 B,$3.4 B,$22.8 B,$46.2 B
533,Power Finance,$11.1 B,$2.4 B,$124.6 B,$18.5 B
534,Royal Caribbean Group,$14.7 B,$2.1 B,$35.2 B,$36.5 B
535,HeidelbergCement,$22.9 B,$2.1 B,$40.2 B,$19 B
536,AirBnB,$10.2 B,$4.9 B,$24.5 B,$92.5 B
537,Bharat Petroleum,$54.1 B,$3.2 B,$24.3 B,$16.4 B
538,LG Chem,$40 B,$758 M,$61 B,$23 B
539,Turkish Airlines,$21.2 B,$6.8 B,$35.6 B,$13.8 B
540,Wuliangye Yibin,$10.3 B,$4.4 B,$25 B,$84 B
541,Subaru Corporation,$32.5 B,$2.7 B,$31.8 B,$15.6 B
542,Weichai Power,$30.1 B,$1.4 B,$46.9 B,$17.5 B
543,Luxshare Precision Industry,$32.6 B,$1.6 B,$23.6 B,$31.5 B
544,Atlas Copco,$16.6 B,$2.7 B,$18.6 B,$90 B
544,United Rentals,$14.5 B,$2.5 B,$26.7 B,$45.7 B
546,CNH Industrial,$24.2 B,$2.3 B,$45.7 B,$14.4 B
547,Loews,$16.3 B,$1.5 B,$80.9 B,$17.2 B
548,Entergy,$12 B,$2.1 B,$61.6 B,$24.1 B
548,Quanta Computer,$34.3 B,$1.4 B,$23.1 B,$34.2 B
550,BASF,$72.1 B,$33.6 M,$88.3 B,$47.5 B
551,NXP Semiconductors,$13.3 B,$2.8 B,$23.3 B,$68.5 B
552,Lam Research,$14.2 B,$3.6 B,$18.3 B,$119.2 B
553,Vertex Pharmaceuticals,$10.2 B,$4 B,$23.9 B,$114.9 B
554,Citizens Financial Group,$12.5 B,$1.4 B,$220.4 B,$16.9 B
555,Xiamen C&D,$101.2 B,$1.8 B,$123.4 B,$4.5 B
556,S.F. Holding,$36.6 B,$1.2 B,$31.1 B,$25.4 B
557,Norfolk Southern,$12 B,$1.4 B,$42.1 B,$52.3 B
558,Deutsche Boerse,$6.6 B,$1.9 B,$262.9 B,$37.2 B
559,Intact Financial,$20.3 B,$1.2 B,$38.1 B,$30.1 B
560,Fujifilm Holdings,$20.5 B,$1.7 B,$31.6 B,$26.4 B
561,Everest Re Group,$15.4 B,$2.9 B,$47.9 B,$17.1 B
562,OTP Bank,$11.8 B,$2.9 B,$113.7 B,$13.6 B
563,Trane Technologies,$18.2 B,$2.2 B,$19.3 B,$74.4 B
564,Inpex,$15.1 B,$2.4 B,$48.2 B,$19.1 B
564,Wesfarmers,$28.9 B,$1.7 B,$18.6 B,$51.9 B
566,Colgate-Palmolive,$19.8 B,$2.6 B,$16.6 B,$77.2 B
567,Samsung Life Insurance,$17.5 B,$1.4 B,$233.5 B,$11.8 B
568,Haleon,$14 B,$1.3 B,$43.4 B,$38.2 B
569,Infosys,$18.6 B,$3.2 B,$16.5 B,$71.9 B
570,Devon Energy,$15.1 B,$3.3 B,$25 B,$31.4 B
571,Punjab National Bank,$14.8 B,$1.1 B,$191.7 B,$16.5 B
572,Publicis Groupe,$16 B,$1.4 B,$40.6 B,$28.8 B
573,MediaTek,$15 B,$2.9 B,$20.2 B,$57.5 B
574,SK Hynix,$30.4 B,$-3.5 B,$76.7 B,$96.5 B
575,Gilead Sciences,$27.4 B,$484 M,$56.3 B,$84.4 B
575,Union Bank of India,$14.3 B,$1.7 B,$168.1 B,$12.7 B
577,Abu Dhabi Commercial Bank,$9.9 B,$2.2 B,$161.9 B,$16.7 B
578,Gallagher,$10.5 B,$1.1 B,$61 B,$56.3 B
579,International Airlines,$31.8 B,$2.9 B,$41.6 B,$11.1 B
580,Fujitsu,$26 B,$1.8 B,$23.2 B,$27.9 B
581,Public Service Enterprise Group,$9.7 B,$1.8 B,$52.4 B,$37.1 B
582,Aptiv,$20.1 B,$3 B,$23.6 B,$22.3 B
583,Bayer,$51 B,$-3.4 B,$129.5 B,$30.5 B
584,China Zheshang Bank,$18.2 B,$2.1 B,$437.5 B,$8.3 B
585,George Weston,$45 B,$1 B,$36 B,$18.8 B
586,Cardinal Health,$220.6 B,$552 M,$45.9 B,$24.1 B
587,Kubota,$20.8 B,$1.7 B,$38 B,$17.9 B
587,Regions Financial,$9.2 B,$1.8 B,$154.9 B,$18.5 B
589,Bunge,$57.6 B,$1.9 B,$25.8 B,$14.6 B
590,Equitable Holdings,$13.3 B,$1.2 B,$276.4 B,$13.2 B
591,China National Nuclear Power,$10.3 B,$1.5 B,$78.3 B,$24 B
592,Bajaj Finserv,$13 B,$984.1 M,$64.5 B,$30.3 B
593,Mahindra & Mahindra,$16.8 B,$1.4 B,$28.3 B,$37.5 B
594,Nintendo,$11.6 B,$3.4 B,$20.8 B,$63.7 B
595,Kenvue,$15.5 B,$1.5 B,$27.3 B,$39.2 B
596,National Bank of Kuwait,$7.8 B,$1.8 B,$124.6 B,$23.7 B
597,Barrick Gold,$11.5 B,$1.4 B,$45.8 B,$31.4 B
598,Coinbase,$4.7 B,$1.3 B,$348 B,$51 B
599,Ecolab,$15.5 B,$1.6 B,$21.3 B,$66.7 B
600,AutoZone,$17.8 B,$2.6 B,$16.7 B,$50.5 B
601,Illinois Tool Works,$16.1 B,$3.1 B,$15.7 B,$74.8 B
602,DSV,$21.6 B,$1.7 B,$22 B,$31.4 B
603,Standard Bank Group,$7.8 B,$2.5 B,$167.6 B,$17.3 B
604,Associated British Foods,$24.9 B,$1.5 B,$23.7 B,$25.9 B
605,Lenovo Group,$55.7 B,$876 M,$39.5 B,$16.3 B
606,Northern Trust,$12.8 B,$976.6 M,$156.1 B,$17.5 B
607,Reinsurance Group of America,$20.7 B,$860 M,$100.7 B,$14 B
608,Nokia,$22.8 B,$888 M,$42.9 B,$21.6 B
609,PKO Bank Polski,$9.7 B,$1.5 B,$124.6 B,$18.2 B
610,Ferguson,$29.4 B,$1.8 B,$15.7 B,$42.7 B
611,Grupa PZU,$14.6 B,$1.4 B,$118.1 B,$12.2 B
612,IQVIA,$15.1 B,$1.4 B,$26.6 B,$42.1 B
613,Woori Financial Group,$19.1 B,$1.7 B,$374.9 B,$8 B
614,Edp-energias De Portugal,$17 B,$1.1 B,$60.2 B,$17.4 B
615,Hess,$11.6 B,$2 B,$24.7 B,$48.7 B
616,Naspers,$6.1 B,$4.1 B,$60.5 B,$38.3 B
617,Swire Pacific,$12.1 B,$3.7 B,$57.3 B,$12.5 B
618,Kimberly-Clark,$20.4 B,$1.8 B,$17.1 B,$45.2 B
619,China Tower Corp.,$13.3 B,$1.4 B,$46 B,$21.7 B
619,SingTel,$10.6 B,$2.4 B,$34.5 B,$29.7 B
621,Chubu Electric Power,$25 B,$2.8 B,$47 B,$9.5 B
621,CMOC Group,$25.7 B,$1.4 B,$24.6 B,$21.9 B
623,Hengli Petrochemical,$31.8 B,$1.1 B,$37.7 B,$15.3 B
624,QBE Insurance Group,$21.7 B,$1.4 B,$34.9 B,$17.6 B
625,Riyad Bank,$7.1 B,$2.2 B,$107.9 B,$21.3 B
626,Sinopharm Group,$84.3 B,$1.3 B,$54.1 B,$8.8 B
627,Telefónica,$44.2 B,$-712.3 M,$112.7 B,$25 B
627,Telstra,$15.1 B,$1.3 B,$31.1 B,$28.4 B
629,Cognizant,$19.3 B,$2.1 B,$18.4 B,$34.2 B
630,3M,$32.7 B,$-7 B,$55.2 B,$58.2 B
631,Industrial Bank of Korea,$15.6 B,$2 B,$336.8 B,$8.2 B
632,NRG Energy,$28.5 B,$1.6 B,$25.4 B,$17.2 B
633,CBRE Group,$32.5 B,$995.1 M,$23 B,$28 B
634,Tokyo Electron,$12.7 B,$2.5 B,$16.2 B,$107.5 B
635,Metallurgical Corp of China,$89.1 B,$1.1 B,$97.3 B,$4.7 B
636,Bank Of Hangzhou,$9.9 B,$2.1 B,$265.3 B,$11.4 B
637,CEZ Group,$15.3 B,$1.4 B,$35.2 B,$21.6 B
638,Micron Technology,$18.3 B,$-3.8 B,$65.7 B,$138.7 B
639,China Energy Engineering,$57.7 B,$1.2 B,$112.8 B,$4.9 B
640,AerCap Holdings,$7.4 B,$3.3 B,$71.1 B,$19.2 B
641,CGN Power,$11.5 B,$1.5 B,$58 B,$18.7 B
642,Swisscom,$12.4 B,$1.9 B,$28.4 B,$28.7 B
643,Diamondback Energy,$8.7 B,$3.2 B,$29.7 B,$35.3 B
644,New China Life Insurance,$18.9 B,$2.1 B,$178.9 B,$7.3 B
645,JSW Steel,$21.1 B,$1.1 B,$27.4 B,$26.6 B
646,RELX,$11.4 B,$2.2 B,$19 B,$82 B
647,Raiffeisen Bank International,$16.2 B,$2.5 B,$219.7 B,$6.3 B
648,Asahi Group Holdings,$19.6 B,$1.2 B,$35.7 B,$19.3 B
648,Bank Leumi,$9.9 B,$1.9 B,$203.1 B,$11.9 B
650,DTE Energy,$12 B,$1.3 B,$45.9 B,$24.1 B
651,Centrica,$32.9 B,$4.9 B,$27.2 B,$9.7 B
652,Nu Holdings,$8.1 B,$1.3 B,$43.8 B,$55.6 B
653,Albertsons,$79.2 B,$1.3 B,$28.8 B,$11.9 B
654,Ally Financial,$16.2 B,$858 M,$192.9 B,$12.2 B
654,Anglo American,$30.7 B,$300.9 M,$66.5 B,$41.2 B
656,GD Power Development,$25 B,$896.5 M,$64.8 B,$12.8 B
657,FirstEnergy,$12.9 B,$1.1 B,$51.3 B,$23 B
658,PPG,$18.2 B,$1.4 B,$21.9 B,$31.5 B
659,Bank Hapoalim,$9.4 B,$2 B,$190.7 B,$11.9 B
660,Tenet Healthcare,$20.9 B,$2.6 B,$28.9 B,$12.5 B
661,Ross Stores,$20.4 B,$1.9 B,$15.3 B,$44.4 B
662,Global Payments,$9.8 B,$1.3 B,$51.8 B,$27.9 B
663,MercadoLibre,$15.8 B,$1.1 B,$19.1 B,$88.7 B
664,Anhui Conch Cement,$19.9 B,$1.5 B,$34.7 B,$14.6 B
665,Deutsche Lufthansa,$38.8 B,$1.5 B,$51.1 B,$8.7 B
666,Akbank,$14.7 B,$2.6 B,$64.1 B,$10.2 B
667,Inner Mongolia Yili,$17.4 B,$1.8 B,$22.3 B,$24.8 B
668,Teck Resources,$11.3 B,$1.2 B,$43.1 B,$27.9 B
669,Amphenol,$12.8 B,$2 B,$16.7 B,$79.2 B
670,Magna International,$43.1 B,$1 B,$32.7 B,$13.6 B
671,Great Wall Motor,$25.1 B,$1.4 B,$27.1 B,$16.4 B
672,Jardine Matheson,$36 B,$686 M,$89.2 B,$11.4 B
673,Warner Bros. Discovery,$40.6 B,$-3 B,$119.8 B,$19.7 B
674,CIMB Group Holdings,$8 B,$1.5 B,$159.6 B,$15.5 B
674,O'Reilly Automotive,$16.1 B,$2.4 B,$14.2 B,$59.6 B
676,Asr Nederland,$13.7 B,$1.1 B,$166 B,$11.1 B
677,Daiichi Sankyo,$11.1 B,$1.4 B,$22.9 B,$68.2 B
678,Tenaris,$14.2 B,$3.5 B,$21.5 B,$20.2 B
679,Constellation Brands,$10 B,$1.7 B,$25.7 B,$46.7 B
680,GE Vernova,$33.2 B,$-438 M,$47.9 B,$44.6 B
681,"Continental Automotive Systems, Inc.",$44.3 B,$781.9 M,$40.8 B,$13.6 B
682,Samsung SDI,$17 B,$1.4 B,$26.3 B,$21.3 B
683,Huaneng Power International,$35.7 B,$783.6 M,$78.2 B,$10.3 B
684,Hindalco Industries,$26.1 B,$1.1 B,$27.1 B,$17.7 B
685,Banco de Sabadell,$11.1 B,$1.3 B,$259.8 B,$11.1 B
686,Bank of Ireland,$9.7 B,$1.6 B,$172 B,$11.7 B
687,Aeon,$66.7 B,$312 M,$86.5 B,$18.2 B
688,Sumitomo Mitsui Trust,$15.1 B,$547.7 M,$501.4 B,$16.5 B
689,Walgreens Boots Alliance,$144.6 B,$-6 B,$84.2 B,$15.7 B
690,NEC,$24 B,$1 B,$27.9 B,$18.8 B
691,Idemitsu Kosan,$60.3 B,$1.6 B,$33.1 B,$8.9 B
691,Vistra Energy,$14.6 B,$759 M,$38.2 B,$32.7 B
693,W. R. Berkley,$12.5 B,$1.5 B,$33.6 B,$20.3 B
694,Corteva,$16.8 B,$559 M,$43.6 B,$39.3 B
695,Lincoln National,$16.8 B,$1.4 B,$353.9 B,$5.1 B
696,WEC Energy Group,$8.7 B,$1.4 B,$43.9 B,$27 B
697,Singapore Airlines,$14.1 B,$2 B,$33.4 B,$15 B
698,Hikvision,$12.6 B,$2 B,$18.3 B,$43.5 B
699,Mitsubishi Estate,$10.4 B,$1.2 B,$50.1 B,$22.3 B
700,Coupang,$25.7 B,$1.3 B,$14.9 B,$41.1 B
701,Li Auto,$17.4 B,$1.6 B,$20.2 B,$24.4 B
702,ServiceNow,$9.5 B,$1.9 B,$17.5 B,$156.8 B
703,Samsung Fire & Marine,$13.9 B,$1.4 B,$62 B,$11.6 B
704,China Hongqiao Group,$18.9 B,$1.6 B,$28.2 B,$14.5 B
705,Cincinnati Financial,$10.7 B,$2.4 B,$33 B,$18.8 B
706,KeyCorp,$10.6 B,$874 M,$187.5 B,$14.5 B
707,Block,$22.9 B,$498.6 M,$35.6 B,$44.6 B
708,PulteGroup,$16.4 B,$2.7 B,$16.5 B,$25 B
708,Saudi British Bank,$6 B,$1.9 B,$98.5 B,$22.2 B
710,JFE Holdings,$35.8 B,$1.4 B,$38 B,$9.4 B
711,Korea Electric Power,$68.1 B,$519.3 M,$177.5 B,$9.4 B
712,Banco BPM,$9.6 B,$1.4 B,$223.3 B,$11 B
712,Omnicom Group,$14.9 B,$1.5 B,$27.3 B,$18.8 B
714,EnBW Energie Baden-Wurttemberg,$41.9 B,$56.1 M,$71.6 B,$19.7 B
715,ACS Actividades de Construccion y Servicios,$38.6 B,$843.4 M,$40.9 B,$11.3 B
716,WW Grainger,$16.6 B,$1.8 B,$8.4 B,$46.4 B
717,BOE Technology Group,$25.3 B,$457.9 M,$57.7 B,$23 B
718,Equinix,$8.3 B,$941.4 M,$31.9 B,$75.9 B
719,Nippon Yusen,$16.5 B,$1.6 B,$28.1 B,$14.6 B
720,Emaar Properties,$7.8 B,$3.1 B,$38.9 B,$18.2 B
721,Kuehne & Nagel International,$25.5 B,$1.4 B,$13.4 B,$32.3 B
722,KLA,$9.6 B,$2.6 B,$15 B,$100.7 B
723,Porsche Automobil Holding,$5.7 B,$5.5 B,$68.9 B,$16.5 B
724,Crown Castle International,$6.8 B,$1.4 B,$38.2 B,$44.7 B
725,Eiffage,$24.2 B,$1.1 B,$41.8 B,$10.7 B
726,Sekisui House,$21.9 B,$1.4 B,$22.9 B,$14.8 B
727,Las Vegas Sands,$11.2 B,$1.6 B,$21.2 B,$35 B
728,Alcon,$9.6 B,$1 B,$29.6 B,$43.6 B
729,VICI Properties,$3.7 B,$2.6 B,$44.2 B,$31.7 B
730,Simon Property Group,$5.8 B,$2.6 B,$33.7 B,$48.5 B
731,Genuine Parts,$23.1 B,$1.3 B,$18.3 B,$21.3 B
731,Renesas Electronics,$10.1 B,$2.2 B,$21.4 B,$31.2 B
733,Verbund,$10 B,$2.4 B,$21.9 B,$27.3 B
734,China Resources Power,$13.2 B,$1.4 B,$41.3 B,$13.3 B
735,Fidelity National Financial,$12.6 B,$824 M,$74.4 B,$14.3 B
736,eBay,$10.1 B,$2.6 B,$21.4 B,$26 B
736,Volvo Car,$37.5 B,$1.2 B,$34.6 B,$9.3 B
738,LG Electronics,$64.3 B,$542.8 M,$45.6 B,$13 B
739,Emerson Electric,$16.5 B,$129 M,$46.4 B,$64.6 B
740,Palo Alto Networks,$7.5 B,$2.3 B,$18.3 B,$102.7 B
741,Assa Abloy,$13.5 B,$1.4 B,$19.6 B,$32.1 B
742,Keyence,$6.7 B,$2.6 B,$19.6 B,$113.7 B
